,Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
31,1987,ILLINOIS,,,1491
32,1988,ILLINOIS,,,1127
33,1989,ILLINOIS,,,1385
34,1990,ILLINOIS,1535.0,,1460
35,1991,ILLINOIS,1574.0,,1450
36,1992,ILLINOIS,1698.0,,1503
37,1993,ILLINOIS,1937.0,,1712
38,1994,ILLINOIS,1745.0,,1639
39,1995,ILLINOIS,1816.0,,1764
40,1996,ILLINOIS,1505.0,,1573
41,1997,ILLINOIS,1828.0,,1708
42,1998,ILLINOIS,2087.0,1889.0,1902
43,1999,ILLINOIS,1917.0,1823.0,1788
44,2000,ILLINOIS,2162.0,1996.0,2020
45,2001,ILLINOIS,2041.0,1932.0,1932
46,2002,ILLINOIS,1952.0,1785.0,1795
47,2003,ILLINOIS,1800.0,1606.0,1634
48,2004,ILLINOIS,2070.0,1923.0,1943
49,2005,ILLINOIS,1973.0,1820.0,1858
50,2006,ILLINOIS,2035.0,1890.0,1923
51,2007,ILLINOIS,1800.0,1796.0,1818
52,2008,ILLINOIS,1621.0,1893.0,1801
53,2009,ILLINOIS,1610.0,1672.0,1676
54,2010,ILLINOIS,1970.0,2090.0,2096
55,2011,ILLINOIS,1983.0,1933.0,1931
56,2012,ILLINOIS,1466.0,1359.0,1382
57,2013,ILLINOIS,1682.0,,1713
58,2014,ILLINOIS,1922.0,1913.0,1964
59,2015,ILLINOIS,1980.0,2052.0,2086
60,2016,ILLINOIS,1969.0,2109.0,2193
61,2017,ILLINOIS,1917.0,1886.0,1947
62,2018,ILLINOIS,2132.0,2225.0,2249
63,2019,ILLINOIS,1696.0,1683.0,1601
64,1987,INDIANA,,,1426
65,1988,INDIANA,,,1112
66,1989,INDIANA,,,1301
67,1990,INDIANA,1472.0,,1400
68,1991,INDIANA,1535.0,,1508
69,1992,INDIANA,1623.0,,1543
70,1993,INDIANA,1938.0,,1703
71,1994,INDIANA,1850.0,,1574
72,1995,INDIANA,1755.0,,1677
73,1996,INDIANA,1416.0,,1470
74,1997,INDIANA,1622.0,,1532
75,1998,INDIANA,1883.0,1677.0,1709
76,1999,INDIANA,1771.0,1627.0,1622
77,2000,INDIANA,1917.0,1786.0,1784
78,2001,INDIANA,2003.0,1882.0,1880
79,2002,INDIANA,1773.0,1677.0,1680
80,2003,INDIANA,1786.0,1692.0,1582
81,2004,INDIANA,1909.0,1866.0,1917
82,2005,INDIANA,1855.0,1790.0,1899
83,2006,INDIANA,1927.0,1893.0,1909
84,2007,INDIANA,1667.0,1660.0,1628
85,2008,INDIANA,1608.0,1577.0,1648
86,2009,INDIANA,1516.0,1525.0,1583
87,2010,INDIANA,1878.0,1852.0,1879
88,2011,INDIANA,1607.0,1606.0,1635
89,2012,INDIANA,1388.0,1390.0,1396
90,2013,INDIANA,1638.0,,1696
91,2014,INDIANA,1518.0,1634.0,1661
92,2015,INDIANA,1641.0,1703.0,1691
93,2016,INDIANA,1683.0,1775.0,1873
94,2017,INDIANA,1795.0,1772.0,1774
95,2018,INDIANA,1880.0,2001.0,2054
96,2019,INDIANA,1496.0,1501.0,1569
97,1987,IOWA,,,1427
98,1988,IOWA,,,1149
99,1989,IOWA,,,1316
100,1990,IOWA,1462.0,,1321
101,1991,IOWA,1406.0,,1451
102,1992,IOWA,1501.0,,1464
103,1993,IOWA,1336.0,,1340
104,1994,IOWA,1887.0,,1820
105,1995,IOWA,1739.0,,1611
106,1996,IOWA,1654.0,,1463
107,1997,IOWA,1894.0,,1458
108,1998,IOWA,1914.0,1729.0,1745
109,1999,IOWA,2142.0,1914.0,1894
110,2000,IOWA,1830.0,1674.0,1660
111,2001,IOWA,1809.0,1778.0,1787
112,2002,IOWA,1988.0,1828.0,1867
113,2003,IOWA,1749.0,1629.0,1647
114,2004,IOWA,1772.0,1731.0,1737
115,2005,IOWA,1969.0,1935.0,1968
116,2006,IOWA,1846.0,1758.0,1760
117,2007,IOWA,1787.0,1917.0,1933
118,2008,IOWA,1758.0,1732.0,1770
119,2009,IOWA,1858.0,1878.0,1868
120,2010,IOWA,2009.0,2046.0,2054
121,2011,IOWA,1944.0,1941.0,1996
122,2012,IOWA,1512.0,1636.0,1630
123,2013,IOWA,1414.0,,1538
124,2014,IOWA,1621.0,1690.0,1772
125,2015,IOWA,1779.0,1805.0,1834
126,2016,IOWA,1808.0,1801.0,1861
127,2017,IOWA,1644.0,1670.0,1717
128,2018,IOWA,1823.0,1984.0,2082
129,2019,IOWA,1601.0,1642.0,1660
130,1990,KANSAS,,,1126
131,1991,KANSAS,,,961
132,2004,KANSAS,1482.0,1588.0,1639
133,2005,KANSAS,1490.0,1431.0,1547
134,2006,KANSAS,1564.0,1509.0,1581
135,2007,KANSAS,1605.0,1524.0,1608
136,2008,KANSAS,1346.0,1487.0,1581
137,2009,KANSAS,1627.0,1759.0,1784
138,2010,KANSAS,1402.0,1392.0,1427
139,2011,KANSAS,1488.0,1466.0,1375
140,2012,KANSAS,1038.0,1039.0,1092
141,2013,KANSAS,1295.0,,1319
142,2014,KANSAS,1303.0,1384.0,1428
143,2015,KANSAS,1285.0,1602.0,1715
144,2016,KANSAS,1467.0,1643.0,1720
145,2017,KANSAS,1487.0,1472.0,1561
146,2018,KANSAS,1552.0,1456.0,1548
147,2019,KANSAS,1561.0,1604.0,1596
148,1987,MINNESOTA,,,1545
