Year,State,Maxtemp_May,Maxtemp_Jun,Maxtemp_Jul,Maxtemp_Aug,Maxtemp_Sep,Maxtemp_Oct
1895,ILLINOIS,75.10,86.50,84.60,86.50,81.50,60.60
1896,ILLINOIS,80.30,82.20,85.80,85.30,73.90,62.50
1897,ILLINOIS,71.10,82.40,87.60,84.20,86.40,73.60
1898,ILLINOIS,72.30,84.00,86.80,83.70,79.50,59.60
1899,ILLINOIS,73.90,84.00,86.40,87.80,77.20,70.30
1900,ILLINOIS,76.00,81.50,85.80,90.60,79.60,72.60
1901,ILLINOIS,73.00,86.80,95.70,87.30,79.00,68.70
1902,ILLINOIS,77.80,79.30,86.50,81.60,72.60,67.30
1903,ILLINOIS,75.60,77.00,87.00,82.60,77.40,65.40
1904,ILLINOIS,72.80,80.10,83.80,81.90,77.40,65.80
1905,ILLINOIS,73.90,84.50,83.10,85.60,78.80,64.50
1906,ILLINOIS,75.90,81.40,86.10,87.10,81.70,63.90
1907,ILLINOIS,67.40,78.70,86.00,82.90,75.80,63.10
1908,ILLINOIS,72.50,81.00,86.20,86.00,83.80,66.80
1909,ILLINOIS,70.80,82.20,83.60,89.00,75.80,62.30
1910,ILLINOIS,68.10,82.20,87.00,84.40,76.80,69.40
1911,ILLINOIS,80.70,88.20,88.70,84.30,79.10,62.60
1912,ILLINOIS,75.70,79.80,86.20,82.40,78.60,68.10
1913,ILLINOIS,74.40,86.90,90.40,90.50,78.10,62.60
1914,ILLINOIS,77.40,87.50,92.20,87.60,77.20,67.60
1915,ILLINOIS,69.90,79.10,82.30,76.80,78.20,68.10
1916,ILLINOIS,73.80,77.00,93.80,88.40,76.80,66.70
1917,ILLINOIS,67.40,78.80,86.50,83.30,76.80,56.50
1918,ILLINOIS,77.80,83.70,85.60,89.80,70.80,67.70
1919,ILLINOIS,69.70,85.00,91.10,85.00,81.70,67.50
1920,ILLINOIS,71.40,83.40,86.40,83.70,80.40,71.60
1921,ILLINOIS,76.20,87.00,92.50,83.90,80.80,66.30
1922,ILLINOIS,76.50,85.70,86.00,86.80,82.70,70.20
1923,ILLINOIS,71.90,83.30,88.70,84.50,75.70,61.80
1924,ILLINOIS,67.30,79.70,82.80,84.50,72.10,73.20
1925,ILLINOIS,72.50,85.80,86.90,86.80,83.40,53.30
1926,ILLINOIS,77.40,79.90,88.30,85.40,75.60,63.00
1927,ILLINOIS,70.20,77.80,85.70,79.90,81.50,70.30
1928,ILLINOIS,75.40,76.20,86.60,85.50,75.00,67.50
1929,ILLINOIS,70.00,80.20,86.50,83.70,76.60,63.60
1930,ILLINOIS,75.00,83.50,92.10,88.80,80.80,62.80
1931,ILLINOIS,69.90,86.70,91.20,85.40,83.50,68.60
1932,ILLINOIS,76.10,85.00,89.20,85.50,77.10,64.50
1933,ILLINOIS,73.00,91.40,89.60,85.00,84.60,64.30
1934,ILLINOIS,81.80,91.90,94.20,86.10,74.40,69.40
1935,ILLINOIS,66.30,77.60,89.40,85.80,78.60,66.00
1936,ILLINOIS,79.00,86.50,97.30,93.20,80.50,64.60
1937,ILLINOIS,74.00,81.40,87.00,89.00,78.30,62.20
1938,ILLINOIS,72.80,80.50,87.80,87.80,79.50,73.10
1939,ILLINOIS,77.60,83.00,87.30,84.10,85.40,69.90
1940,ILLINOIS,70.30,83.90,89.10,85.10,79.50,71.90
1941,ILLINOIS,78.50,83.80,88.30,87.70,81.00,67.10
1942,ILLINOIS,72.90,81.90,86.80,83.20,75.40,66.70
1943,ILLINOIS,70.50,84.30,88.70,87.30,74.40,65.70
1944,ILLINOIS,77.40,86.60,88.60,86.10,77.60,67.70
1945,ILLINOIS,67.70,77.40,85.00,84.90,76.00,64.40
1946,ILLINOIS,69.10,82.80,87.60,80.50,78.50,71.60
