Year,State,Pdsi1_May,Pdsi1_Jun,Pdsi1_Jul,Pdsi1_Aug,Pdsi1_Sep,Pdsi1_Oct
1895,ILLINOIS,-2.21,-2.70,-1.75,-2.01,-2.12,-2.61
1896,ILLINOIS,0.25,0.24,1.30,1.11,2.08,1.75
1897,ILLINOIS,-0.63,-0.34,-0.39,-1.27,-2.41,-3.51
1898,ILLINOIS,2.75,2.60,2.16,2.30,2.59,3.04
1899,ILLINOIS,-0.19,-0.80,-0.80,-1.18,-1.58,-1.54
1900,ILLINOIS,-2.09,-1.68,-1.11,-0.79,-0.68,-0.89
1901,ILLINOIS,-1.99,-2.23,-3.00,-3.72,-4.15,-4.36
1902,ILLINOIS,-4.90,1.82,2.32,2.99,3.45,3.21
1903,ILLINOIS,2.01,1.62,1.48,1.86,1.94,1.71
1904,ILLINOIS,1.84,1.43,1.81,2.18,2.79,-0.50
1905,ILLINOIS,0.16,-0.25,0.70,0.79,0.71,1.34
1906,ILLINOIS,-1.26,-1.44,-1.79,0.03,0.44,-0.40
1907,ILLINOIS,1.08,1.30,2.19,3.17,2.95,2.63
1908,ILLINOIS,4.00,-0.36,-0.42,-0.85,-1.79,-2.64
1909,ILLINOIS,1.55,1.44,1.91,1.16,1.31,1.32
1910,ILLINOIS,-1.13,-1.60,-1.30,-1.44,-0.84,-0.61
1911,ILLINOIS,-1.63,-2.33,-2.91,0.06,2.00,2.10
1912,ILLINOIS,1.76,1.41,1.58,1.69,-0.19,0.24
1913,ILLINOIS,-0.66,-1.26,-2.00,-2.72,-2.79,-2.28
1914,ILLINOIS,-3.21,-3.68,-4.55,-4.51,-4.02,-3.78
1915,ILLINOIS,1.02,1.40,2.73,4.11,4.38,3.50
1916,ILLINOIS,-0.98,-0.08,-1.25,-1.06,-1.12,-1.04
1917,ILLINOIS,0.82,1.46,-0.16,-0.30,-0.43,-0.02
1918,ILLINOIS,0.98,0.71,0.32,0.19,0.65,0.72
