Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
1987.0,ILLINOIS,,,1491.0
1988.0,ILLINOIS,,,1127.0
1989.0,ILLINOIS,,,1385.0
1990.0,ILLINOIS,1535.0,,1460.0
1991.0,ILLINOIS,1574.0,,1450.0
1992.0,ILLINOIS,1698.0,,1503.0
1993.0,ILLINOIS,1937.0,,1712.0
1994.0,ILLINOIS,1745.0,,1639.0
1995.0,ILLINOIS,1816.0,,1764.0
1996.0,ILLINOIS,1505.0,,1573.0
1997.0,ILLINOIS,1828.0,,1708.0
1998.0,ILLINOIS,2087.0,1889.0,1902.0
1999.0,ILLINOIS,1917.0,1823.0,1788.0
2000.0,ILLINOIS,2162.0,1996.0,2020.0
2001.0,ILLINOIS,2041.0,1932.0,1932.0
2002.0,ILLINOIS,1952.0,1785.0,1795.0
2003.0,ILLINOIS,1800.0,1606.0,1634.0
2004.0,ILLINOIS,2070.0,1923.0,1943.0
2005.0,ILLINOIS,1973.0,1820.0,1858.0
2006.0,ILLINOIS,2035.0,1890.0,1923.0
2007.0,ILLINOIS,1800.0,1796.0,1818.0
2008.0,ILLINOIS,1621.0,1893.0,1801.0
2009.0,ILLINOIS,1610.0,1672.0,1676.0
2010.0,ILLINOIS,1970.0,2090.0,2096.0
2011.0,ILLINOIS,1983.0,1933.0,1931.0
2012.0,ILLINOIS,1466.0,1359.0,1382.0
2013.0,ILLINOIS,1682.0,,1713.0
2014.0,ILLINOIS,1922.0,1913.0,1964.0
2015.0,ILLINOIS,1980.0,2052.0,2086.0
2016.0,ILLINOIS,1969.0,2109.0,2193.0
2017.0,ILLINOIS,1917.0,1886.0,1947.0
2018.0,ILLINOIS,2132.0,2225.0,2249.0
2019.0,ILLINOIS,1696.0,1683.0,1601.0
1987.0,INDIANA,,,1426.0
1988.0,INDIANA,,,1112.0
1989.0,INDIANA,,,1301.0
1990.0,INDIANA,1472.0,,1400.0
1991.0,INDIANA,1535.0,,1508.0
1992.0,INDIANA,1623.0,,1543.0
1993.0,INDIANA,1938.0,,1703.0
1994.0,INDIANA,1850.0,,1574.0
1995.0,INDIANA,1755.0,,1677.0
1996.0,INDIANA,1416.0,,1470.0
1997.0,INDIANA,1622.0,,1532.0
1998.0,INDIANA,1883.0,1677.0,1709.0
1999.0,INDIANA,1771.0,1627.0,1622.0
2000.0,INDIANA,1917.0,1786.0,1784.0
2001.0,INDIANA,2003.0,1882.0,1880.0
2002.0,INDIANA,1773.0,1677.0,1680.0
2003.0,INDIANA,1786.0,1692.0,1582.0
2004.0,INDIANA,1909.0,1866.0,1917.0
2005.0,INDIANA,1855.0,1790.0,1899.0
2006.0,INDIANA,1927.0,1893.0,1909.0
2007.0,INDIANA,1667.0,1660.0,1628.0
2008.0,INDIANA,1608.0,1577.0,1648.0
2009.0,INDIANA,1516.0,1525.0,1583.0
2010.0,INDIANA,1878.0,1852.0,1879.0
2011.0,INDIANA,1607.0,1606.0,1635.0
2012.0,INDIANA,1388.0,1390.0,1396.0
2013.0,INDIANA,1638.0,,1696.0
2014.0,INDIANA,1518.0,1634.0,1661.0
2015.0,INDIANA,1641.0,1703.0,1691.0
2016.0,INDIANA,1683.0,1775.0,1873.0
2017.0,INDIANA,1795.0,1772.0,1774.0
2018.0,INDIANA,1880.0,2001.0,2054.0
2019.0,INDIANA,1496.0,1501.0,1569.0
1987.0,IOWA,,,1427.0
1988.0,IOWA,,,1149.0
1989.0,IOWA,,,1316.0
1990.0,IOWA,1462.0,,1321.0
1991.0,IOWA,1406.0,,1451.0
1992.0,IOWA,1501.0,,1464.0
1993.0,IOWA,1336.0,,1340.0
1994.0,IOWA,1887.0,,1820.0
1995.0,IOWA,1739.0,,1611.0
1996.0,IOWA,1654.0,,1463.0
1997.0,IOWA,1894.0,,1458.0
1998.0,IOWA,1914.0,1729.0,1745.0
1999.0,IOWA,2142.0,1914.0,1894.0
2000.0,IOWA,1830.0,1674.0,1660.0
2001.0,IOWA,1809.0,1778.0,1787.0
2002.0,IOWA,1988.0,1828.0,1867.0
2003.0,IOWA,1749.0,1629.0,1647.0
2004.0,IOWA,1772.0,1731.0,1737.0
2005.0,IOWA,1969.0,1935.0,1968.0
2006.0,IOWA,1846.0,1758.0,1760.0
2007.0,IOWA,1787.0,1917.0,1933.0
2008.0,IOWA,1758.0,1732.0,1770.0
2009.0,IOWA,1858.0,1878.0,1868.0
2010.0,IOWA,2009.0,2046.0,2054.0
2011.0,IOWA,1944.0,1941.0,1996.0
2012.0,IOWA,1512.0,1636.0,1630.0
2013.0,IOWA,1414.0,,1538.0
2014.0,IOWA,1621.0,1690.0,1772.0
2015.0,IOWA,1779.0,1805.0,1834.0
2016.0,IOWA,1808.0,1801.0,1861.0
2017.0,IOWA,1644.0,1670.0,1717.0
