Year,WEEK #30PCT EXCELLENT,WEEK #35PCT EXCELLENT,WEEK #40PCT EXCELLENT,WEEK #30PCT FAIR,WEEK #35PCT FAIR,WEEK #40PCT FAIR,WEEK #30PCT GOOD,WEEK #35PCT GOOD,WEEK #40PCT GOOD,WEEK #30PCT POOR,WEEK #35PCT POOR,WEEK #40PCT POOR,WEEK #30PCT VERY POOR,WEEK #35PCT VERY POOR,WEEK #40PCT VERY POOR,State
1986,35,30,,8,7,,57,63,,,,,,,,ILLINOIS
1987,10,4,,17,28,,71,63,,2,5,,,,,ILLINOIS
1988,,,,63,59,,12,12,,23,28,,2,1,,ILLINOIS
1989,11,9,,10,16,,79,74,,,1,,,,,ILLINOIS
1990,4,11,5,36,16,14,59,71,80,1,2,1,,,,ILLINOIS
1991,2,3,7,48,61,32,45,20,46,3,11,12,2,5,3,ILLINOIS
1992,10,5,13,10,23,6,80,72,81,,,,,,,ILLINOIS
1993,12,14,8,20,15,14,66,71,77,2,,1,,,,ILLINOIS
1994,13,6,,19,35,,68,56,,,3,,,,,ILLINOIS
1995,4,6,3,41,40,42,41,44,33,12,9,18,2,1,4,ILLINOIS
1996,8,6,6,42,37,40,32,35,36,15,16,13,3,6,5,ILLINOIS
1997,9,9,8,32,33,32,49,47,49,8,9,9,2,2,2,ILLINOIS
1998,16,17,,23,25,,48,48,,9,7,,4,3,,ILLINOIS
1999,10,9,,35,37,,43,37,,10,12,,2,5,,ILLINOIS
2000,27,20,,18,23,,51,50,,3,5,,1,2,,ILLINOIS
2001,15,9,12,33,33,30,46,46,47,5,9,9,1,3,2,ILLINOIS
2002,4,7,5,40,33,34,36,39,35,13,12,16,7,9,10,ILLINOIS
2003,22,10,6,20,32,37,53,45,40,4,9,12,1,4,5,ILLINOIS
2004,15,18,23,19,23,18,63,53,54,3,4,4,0,2,1,ILLINOIS
2005,1,1,4,43,40,38,22,26,29,22,21,18,12,12,11,ILLINOIS
2006,19,21,23,25,21,17,48,53,53,6,4,5,2,1,2,ILLINOIS
2007,24,12,10,21,26,28,49,43,45,4,11,11,2,8,6,ILLINOIS
2008,12,10,15,28,28,22,50,52,58,7,7,4,3,3,1,ILLINOIS
2009,12,13,12,29,30,31,49,47,47,7,7,6,3,3,4,ILLINOIS
2010,16,15,17,27,27,25,48,48,48,6,7,7,3,3,3,ILLINOIS
2011,12,7,9,33,35,35,46,41,42,7,12,10,2,5,4,ILLINOIS
2012,0,1,3,35,42,38,9,17,24,29,21,22,27,19,13,ILLINOIS
2013,13,7,,22,35,,58,45,,5,11,,2,2,,ILLINOIS
2014,22,23,28,18,18,17,56,55,51,3,3,3,1,1,1,ILLINOIS
2015,8,10,12,32,30,26,41,43,48,13,12,10,6,5,4,ILLINOIS
2016,21,21,24,17,15,14,56,58,58,4,4,3,2,2,1,ILLINOIS
2017,14,9,13,22,29,24,52,49,50,9,8,8,3,5,5,ILLINOIS
2018,25,28,33,18,19,14,50,48,47,4,3,3,3,2,3,ILLINOIS
2019,8,7,5,36,37,37,36,39,38,14,13,14,6,4,6,ILLINOIS
2020,15,14,,19,22,,61,58,,4,5,,1,1,,ILLINOIS
1986,9,4,,22,35,,66,59,,3,2,,,,,INDIANA
1987,15,9,,14,23,,71,61,,,7,,,,,INDIANA
1988,,,,66,59,,21,13,,10,27,,3,1,,INDIANA
1989,18,13,,17,13,,63,73,,2,1,,,,,INDIANA
1990,6,7,5,34,23,23,59,69,72,1,1,,,,,INDIANA
1991,,,5,48,56,42,31,21,34,17,19,16,4,4,3,INDIANA
1992,11,8,7,23,17,17,63,73,75,3,2,1,,,,INDIANA
1993,8,12,14,25,17,14,67,70,72,,1,,,,,INDIANA
1994,9,4,,26,30,,62,63,,3,2,,,1,,INDIANA
1995,7,6,3,39,41,45,48,40,34,5,10,16,1,3,2,INDIANA
1996,5,5,4,42,42,41,36,31,37,14,17,15,3,5,3,INDIANA
1997,12,12,10,27,30,33,53,50,49,6,6,6,2,2,2,INDIANA
1998,15,18,,26,26,,50,48,,6,6,,3,2,,INDIANA
1999,9,2,,38,46,,34,23,,14,21,,5,8,,INDIANA
2000,14,15,,25,25,,53,51,,6,7,,2,2,,INDIANA
2001,16,15,21,22,24,19,56,53,54,5,6,5,1,2,1,INDIANA
2002,4,4,3,38,32,35,31,34,29,19,19,19,8,11,14,INDIANA
2003,9,11,8,32,30,31,42,45,42,12,10,12,5,4,7,INDIANA
2004,20,21,29,20,18,16,52,51,49,5,6,4,3,4,2,INDIANA
2005,7,9,12,33,34,31,45,43,45,11,11,9,4,3,3,INDIANA
2006,13,18,20,26,20,19,53,55,55,6,6,5,2,1,1,INDIANA
2007,6,6,7,35,36,34,40,37,37,13,14,14,6,7,8,INDIANA
2008,14,12,10,25,33,32,51,37,39,7,12,12,3,6,7,INDIANA
2009,10,12,11,26,26,28,54,51,49,8,8,9,2,3,3,INDIANA
2010,17,12,13,25,30,29,47,39,41,8,12,12,3,7,5,INDIANA
2011,7,5,7,39,36,34,37,35,36,12,15,15,5,9,8,INDIANA
2012,2,2,6,30,36,34,14,18,25,30,25,19,24,19,16,INDIANA
2013,23,17,,21,28,,51,45,,4,8,,1,2,,INDIANA
2014,16,18,21,24,25,22,55,52,52,4,4,4,1,1,1,INDIANA
2015,8,10,11,32,31,31,33,37,38,18,14,13,9,8,7,INDIANA
2016,21,20,22,19,18,16,54,55,56,4,5,5,2,2,1,INDIANA
2017,10,11,12,34,31,31,41,42,43,11,11,10,4,5,4,INDIANA
2018,17,19,20,25,20,20,50,53,52,6,6,6,2,2,2,INDIANA
2019,5,5,4,39,41,39,31,28,28,18,19,20,7,7,9,INDIANA
2020,13,13,,27,27,,52,50,,6,7,,2,3,,INDIANA
1986,22,26,,16,5,,62,69,,,,,,,,IOWA
1987,27,17,37,11,12,11,61,70,52,1,1,,,,,IOWA
1988,2,,,53,50,,23,10,,19,33,,3,7,,IOWA
1989,8,4,,25,44,,66,40,,1,12,,,,,IOWA
1990,10,9,15,24,26,13,62,64,72,4,1,,,,,IOWA
1991,3,6,8,50,37,39,42,53,47,5,3,5,,1,1,IOWA
1992,23,10,20,12,18,11,64,72,69,1,,,,,,IOWA
1993,1,1,1,54,60,63,23,27,21,20,11,13,2,1,2,IOWA
1994,40,23,,4,10,,56,67,,,,,,,,IOWA
1995,14,13,13,30,30,27,47,47,50,8,8,7,1,2,3,IOWA
1996,15,16,15,26,25,23,51,53,57,7,5,4,1,1,1,IOWA
1997,20,12,16,19,25,26,58,54,53,3,6,4,,3,1,IOWA
1998,24,29,,19,18,,49,47,,6,4,,2,2,,IOWA
1999,20,24,,23,21,,50,45,,5,7,,2,3,,IOWA
2000,21,15,,24,28,,48,45,,6,9,,1,3,,IOWA
2001,12,8,9,28,34,32,49,41,42,9,12,12,2,5,5,IOWA
2002,16,18,18,22,25,24,51,47,48,8,7,8,3,3,2,IOWA
2003,25,3,1,15,38,40,56,27,15,3,23,30,1,9,14,IOWA
2004,25,18,20,18,23,20,50,50,52,5,7,6,2,2,2,IOWA
2005,19,21,30,22,21,17,52,50,47,5,6,4,2,2,2,IOWA
2006,11,22,25,29,22,19,44,49,50,12,6,5,4,1,1,IOWA
2007,14,21,24,27,21,19,52,52,52,6,5,4,1,1,1,IOWA
2008,13,14,13,28,28,28,49,48,48,8,8,8,2,2,3,IOWA
2009,20,20,21,17,17,19,59,56,53,3,5,5,1,2,2,IOWA
2010,25,22,24,19,21,18,46,47,49,7,7,6,3,3,3,IOWA
2011,24,14,18,19,25,23,52,48,47,3,9,8,2,4,4,IOWA
2012,1,2,3,41,40,37,24,21,29,22,24,20,12,13,11,IOWA
2013,12,5,,35,37,,41,34,,9,16,,3,8,,IOWA
2014,20,23,22,20,20,19,54,50,52,5,5,5,1,2,2,IOWA
2015,17,21,24,19,19,18,59,55,53,4,4,4,1,1,1,IOWA
2016,22,24,25,14,14,15,61,58,56,2,3,3,1,1,1,IOWA
2017,9,10,11,28,26,26,51,51,51,9,10,9,3,3,3,IOWA
2018,21,19,17,18,20,21,56,53,53,4,6,6,1,2,3,IOWA
2019,10,9,11,29,29,27,52,51,53,6,8,7,3,3,2,IOWA
2020,15,5,,19,32,,61,45,,4,12,,1,6,,IOWA
1986,66,85,,3,3,,31,12,,,,,,,,KANSAS
1987,73,50,80,2,11,,25,36,20,,3,,,,,KANSAS
1988,36,17,,16,36,,45,20,,2,26,,1,1,,KANSAS
1989,53,36,,12,28,,31,19,,4,11,,,6,,KANSAS
1990,9,21,9,37,27,50,53,51,23,1,1,6,,,12,KANSAS
1991,8,3,2,57,37,51,20,3,21,15,33,14,,24,12,KANSAS
