Year,Iowa,Minnesota,Nebraska
1924,23000,,
1925,18000,,
1926,24000,,
1927,48000,,
1928,63000,,
1929,80000,,2000.0
1930,124000,,3000.0
1931,159000,,4000.0
1932,217000,,4000.0
1933,248000,15000.0,3000.0
1934,853000,117000.0,7000.0
1935,1200000,91000.0,9000.0
1936,586000,50000.0,3000.0
1937,753000,70000.0,4000.0
1938,930000,97000.0,7000.0
1939,1288000,182000.0,10000.0
1940,1481000,251000.0,20000.0
1941,1288000,270000.0,32000.0
1942,2061000,413000.0,55000.0
1943,2021000,343000.0,85000.0
1944,2028000,352000.0,22000.0
1945,1973000,528000.0,20000.0
1946,1578000,676000.0,25000.0
1947,1957000,1034000.0,35000.0
1948,1616000,920000.0,26000.0
1949,1380000,800000.0,20000.0
1950,1960000,1152000.0,50000.0
1951,1638000,1140000.0,60000.0
1952,1540000,1197000.0,90000.0
1953,1679000,1400000.0,108000.0
1954,2149000,1988000.0,190000.0
1955,2278000,2286000.0,196000.0
1956,2551000,2697000.0,165000.0
1957,2844000,2697000.0,145000.0
1958,3128000,3129000.0,210000.0
1959,2377000,2253000.0,147000.0
1960,2615000,2118000.0,165000.0
1961,3426000,2351000.0,295000.0
1962,3415000,2233000.0,313000.0
1963,3586000,2398000.0,360000.0
1964,4267000,2878000.0,533000.0
1965,4864000,3217000.0,720000.0
1966,5010000,3374000.0,749000.0
1967,5361000,3644000.0,801000.0
1968,5576000,3286000.0,801000.0
1969,5632000,3040000.0,777000.0
1970,5709000,3060000.0,824000.0
1971,5516000,2820000.0,618000.0
1972,6050000,3250000.0,715000.0
1973,7700000,4320000.0,1230000.0
1974,7200000,3900000.0,1170000.0
1975,7000000,3700000.0,1220000.0
1976,6470000,3050000.0,995000.0
1977,7100000,3800000.0,1150000.0
1978,7600000,4100000.0,1270000.0
1979,8200000,5150000.0,1630000.0
1980,8300000,4800000.0,1830000.0
1981,8100000,4460000.0,2150000.0
1982,8470000,4950000.0,2300000.0
1983,8000000,4650000.0,2100000.0
1984,8500000,5300000.0,2600000.0
1985,8200000,5100000.0,2400000.0
1986,8500000,4750000.0,2500000.0
1987,7950000,4700000.0,2400000.0
1988,8150000,4900000.0,2400000.0
1989,8300000,5050000.0,2600000.0
1990,8000000,4700000.0,2400000.0
1991,8700000,5500000.0,2500000.0
1992,8200000,5500000.0,2500000.0
1993,8600000,5400000.0,2600000.0
1994,8800000,5700000.0,2900000.0
1995,9300000,5900000.0,3100000.0
1996,9500000,6000000.0,3050000.0
1997,10500000,6600000.0,3600000.0
1998,10400000,6900000.0,3800000.0
1999,10800000,7000000.0,4300000.0
2000,10700000,7300000.0,4650000.0
2001,11000000,7300000.0,4950000.0
2002,10450000,7200000.0,4700000.0
2003,10600000,7500000.0,4550000.0
2004,10200000,7300000.0,4800000.0
2005,10050000,6900000.0,4700000.0
2006,10150000,7350000.0,5050000.0
2007,8650000,6350000.0,3870000.0
2008,9750000,7050000.0,4900000.0
2009,9600000,7200000.0,4800000.0
2010,9800000,7400000.0,5150000.0
2011,9350000,7100000.0,4900000.0
2012,9350000,7050000.0,5050000.0
2013,9300000,6700000.0,4800000.0
2014,9850000,7350000.0,5400000.0
2015,9850000,7600000.0,5300000.0
2016,9500000,7550000.0,5200000.0
2017,10000000,8150000.0,5700000.0
2018,9950000,7750000.0,5650000.0
2019,9200000,6850000.0,4900000.0
2020,9400000,7400000.0,5000000.0
